"","X","contest","candidate_count","year","contested","choice","party","district"
"1",1,"HOUSE DISTRICT 01",1,2000,"No","W. C. (Bill) Owens, Jr.","DEM",11111111111
"2",2,"HOUSE DISTRICT 02",2,2000,"Yes","Zeno L. Edwards","DEM",11111111111
"3",3,"HOUSE DISTRICT 02",2,2000,"Yes","Stan Deatherage","REP",11111111111
"4",4,"HOUSE DISTRICT 03",3,2000,"Yes","Bill Harper","UNA",11111111111
"5",5,"HOUSE DISTRICT 03",3,2000,"Yes","John M. Nichols","REP",11111111111
"6",6,"HOUSE DISTRICT 03",3,2000,"Yes","Alice Graham Underhill","DEM",11111111111
"7",7,"HOUSE DISTRICT 04",3,2000,"Yes","Ronald L. Smith","DEM",11111111111
"8",8,"HOUSE DISTRICT 04",3,2000,"Yes","Jean R. Preston","REP",11111111111
"9",9,"HOUSE DISTRICT 04",3,2000,"Yes","Jonathan Robinson","REP",11111111111
"10",10,"HOUSE DISTRICT 05",1,2000,"No","Howard Hunter, Jr.","DEM",11111111111
"11",11,"HOUSE DISTRICT 06",2,2000,"Yes","Gene Rogers","DEM",11111111111
"12",12,"HOUSE DISTRICT 06",2,2000,"Yes","Edwin W. Congleton","REP",11111111111
"13",13,"HOUSE DISTRICT 07",1,2000,"No","John D. Hall","DEM",11111111111
"14",14,"HOUSE DISTRICT 08",1,2000,"No","Edith D. Warren","DEM",11111111111
"15",15,"HOUSE DISTRICT 09",2,2000,"Yes","Wayne Holloman","REP",11111111111
"16",16,"HOUSE DISTRICT 09",2,2000,"Yes","Marian N. McLawhorn","DEM",11111111111
"17",17,"HOUSE DISTRICT 10",2,2000,"Yes","Sherwood Fountain","REP",11111111111
"18",18,"HOUSE DISTRICT 10",2,2000,"Yes","Russell E. Tucker","DEM",11111111111
"19",19,"HOUSE DISTRICT 11",3,2000,"Yes","Phil Baddour, Jr.","DEM",11111111111
"20",20,"HOUSE DISTRICT 11",3,2000,"Yes","Mike Todaro","LIB",11111111111
"21",21,"HOUSE DISTRICT 11",3,2000,"Yes","Willie Ray Starling","REP",11111111111
"22",22,"HOUSE DISTRICT 12",2,2000,"Yes","Ted Brown","REP",11111111111
"23",23,"HOUSE DISTRICT 12",2,2000,"Yes","Nurham Warwick","DEM",11111111111
"24",24,"HOUSE DISTRICT 13",1,2000,"No","Danny McComas","REP",11111111111
"25",25,"HOUSE DISTRICT 14",4,2000,"Yes","Dewey L. Hill","DEM",11111111111
"26",26,"HOUSE DISTRICT 14",4,2000,"Yes","E. David Redwine","DEM",11111111111
"27",27,"HOUSE DISTRICT 14",4,2000,"Yes","Robert (Bob) Quinn","REP",11111111111
"28",28,"HOUSE DISTRICT 14",4,2000,"Yes","Bill Caster","REP",11111111111
"29",29,"HOUSE DISTRICT 15",2,2000,"Yes","James S. (Sam) Ellis","REP",11111111111
"30",30,"HOUSE DISTRICT 15",2,2000,"Yes","Thomas B. Hunt","DEM",11111111111
"31",31,"HOUSE DISTRICT 16",2,2000,"Yes","Douglas Y. Yongue","DEM",11111111111
"32",32,"HOUSE DISTRICT 16",2,2000,"Yes","C. Linwood Faulk","REP",11111111111
"33",33,"HOUSE DISTRICT 17",3,2000,"Yes","Mary E. McAllister","DEM",11111111111
"34",34,"HOUSE DISTRICT 17",3,2000,"Yes","George E. Boggs","REP",11111111111
"35",35,"HOUSE DISTRICT 17",3,2000,"Yes","Marvin W. Lucas","DEM",11111111111
"36",36,"HOUSE DISTRICT 18",3,2000,"Yes","Christian G. Davis","LIB",11111111111
"37",37,"HOUSE DISTRICT 18",3,2000,"Yes","Mia Morris","REP",11111111111
"38",38,"HOUSE DISTRICT 18",3,2000,"Yes","John W. (Bill) Hurley","DEM",11111111111
"39",39,"HOUSE DISTRICT 19",4,2000,"Yes","Bobby Ray Hall","REP",11111111111
"40",40,"HOUSE DISTRICT 19",4,2000,"Yes","Don Davis","REP",11111111111
"41",41,"HOUSE DISTRICT 19",4,2000,"Yes","Leslie Cox","DEM",11111111111
"42",42,"HOUSE DISTRICT 19",4,2000,"Yes","Larry Upchurch","DEM",11111111111
"43",43,"HOUSE DISTRICT 20",2,2000,"Yes","Billy Creech","REP",11111111111
"44",44,"HOUSE DISTRICT 20",2,2000,"Yes","Richard Price","DEM",11111111111
"45",45,"HOUSE DISTRICT 21",2,2000,"Yes","Daniel T. (Dan) Blue, Jr.","DEM",11111111111
"46",46,"HOUSE DISTRICT 21",2,2000,"Yes","Jesse Halliday","LIB",11111111111
"47",47,"HOUSE DISTRICT 22",4,2000,"Yes","Audrey M. Smith","REP",11111111111
"48",48,"HOUSE DISTRICT 22",4,2000,"Yes","Tom Howe","LIB",11111111111
"49",49,"HOUSE DISTRICT 22",4,2000,"Yes","Jim Crawford","DEM",11111111111
"50",50,"HOUSE DISTRICT 22",4,2000,"Yes","Gordon P. Allen","DEM",11111111111
"51",51,"HOUSE DISTRICT 23",5,2000,"Yes","Robert Dorsey","LIB",11111111111
"52",52,"HOUSE DISTRICT 23",5,2000,"Yes","Paul Luebke","DEM",11111111111
"53",53,"HOUSE DISTRICT 23",5,2000,"Yes","Paul Miller","DEM",11111111111
"54",54,"HOUSE DISTRICT 23",5,2000,"Yes","H. M. (Mickey) Michaux","DEM",11111111111
"55",55,"HOUSE DISTRICT 23",5,2000,"Yes","Ray Ubinger","LIB",11111111111
"56",56,"HOUSE DISTRICT 24",5,2000,"Yes","John H. Bauman","LIB",11111111111
"57",57,"HOUSE DISTRICT 24",5,2000,"Yes","Verla Insko","DEM",11111111111
"58",58,"HOUSE DISTRICT 24",5,2000,"Yes","Rod Chaney","REP",11111111111
"59",59,"HOUSE DISTRICT 24",5,2000,"Yes","Joe Hackney","DEM",11111111111
"60",60,"HOUSE DISTRICT 24",5,2000,"Yes","William Towne","REP",11111111111
"61",61,"HOUSE DISTRICT 25",6,2000,"Yes","Nelson Cole","DEM",11111111111
"62",62,"HOUSE DISTRICT 25",6,2000,"Yes","W. B. (Junior) Teague","REP",11111111111
"63",63,"HOUSE DISTRICT 25",6,2000,"Yes","Danny Davis","DEM",11111111111
"64",64,"HOUSE DISTRICT 25",6,2000,"Yes","John M. Glenn","DEM",11111111111
"65",65,"HOUSE DISTRICT 25",6,2000,"Yes","Cary D. Allred","REP",11111111111
"66",66,"HOUSE DISTRICT 25",6,2000,"Yes","Bert Jones","REP",11111111111
"67",67,"HOUSE DISTRICT 26",2,2000,"Yes","Jim Rumley","REP",11111111111
"68",68,"HOUSE DISTRICT 26",2,2000,"Yes","Alma S. Adams","DEM",11111111111
"69",69,"HOUSE DISTRICT 27",2,2000,"Yes","John M. Blust","REP",11111111111
"70",70,"HOUSE DISTRICT 27",2,2000,"Yes","Stephen W. Wood","RFM",11111111111
"71",71,"HOUSE DISTRICT 28",1,2000,"No","Flossie Boyd-McIntyre","DEM",11111111111
"72",72,"HOUSE DISTRICT 29",1,2000,"No","Joanne W. Bowie","REP",11111111111
"73",73,"HOUSE DISTRICT 30",3,2000,"Yes","Matilda Phillips","DEM",11111111111
"74",74,"HOUSE DISTRICT 30",3,2000,"Yes","Arlie F. Culp","REP",11111111111
"75",75,"HOUSE DISTRICT 30",3,2000,"Yes","Victoria D. Prevo","LIB",11111111111
"76",76,"HOUSE DISTRICT 31",2,2000,"Yes","Ellen Vann Crews","DEM",11111111111
"77",77,"HOUSE DISTRICT 31",2,2000,"Yes","Richard T. Morgan","REP",11111111111
"78",78,"HOUSE DISTRICT 32",1,2000,"No","Wayne Goodwin","DEM",11111111111
"79",79,"HOUSE DISTRICT 33",1,2000,"No","Pryor Gibson","DEM",11111111111
"80",80,"HOUSE DISTRICT 34",2,2000,"Yes","Fern Shubert","REP",11111111111
"81",81,"HOUSE DISTRICT 34",2,2000,"Yes","Max Melton","DEM",11111111111
"82",82,"HOUSE DISTRICT 35",2,2000,"Yes","Lorene T. Coates","DEM",11111111111
"83",83,"HOUSE DISTRICT 35",2,2000,"Yes","Charlotte A. Gardner","REP",11111111111
"84",84,"HOUSE DISTRICT 36",2,2000,"Yes","James B. (Jim) Black","DEM",11111111111
"85",85,"HOUSE DISTRICT 36",2,2000,"Yes","Cheryl Jones","REP",11111111111
"86",86,"HOUSE DISTRICT 37",3,2000,"Yes","Cindy Akins","REP",11111111111
"87",87,"HOUSE DISTRICT 37",3,2000,"Yes","Paul Burks","LIB",11111111111
"88",88,"HOUSE DISTRICT 37",3,2000,"Yes","L. Hugh Holliman","DEM",11111111111
"89",89,"HOUSE DISTRICT 38",2,2000,"Yes","Tommy Lawrence","DEM",11111111111
"90",90,"HOUSE DISTRICT 38",2,2000,"Yes","Harold J. Brubaker","REP",11111111111
"91",91,"HOUSE DISTRICT 39",1,2000,"No","Lyons Gray","REP",11111111111
"92",92,"HOUSE DISTRICT 40",5,2000,"Yes","Dan Hense","DEM",11111111111
"93",93,"HOUSE DISTRICT 40",5,2000,"Yes","Bert Wood","DEM",11111111111
"94",94,"HOUSE DISTRICT 40",5,2000,"Yes","Gene Wilson","REP",11111111111
"95",95,"HOUSE DISTRICT 40",5,2000,"Yes","William S. (Bill) Hiatt","REP",11111111111
"96",96,"HOUSE DISTRICT 40",5,2000,"Yes","Rex Baker","REP",11111111111
"97",97,"HOUSE DISTRICT 41",2,2000,"Yes","George M. Holmes","REP",11111111111
"98",98,"HOUSE DISTRICT 41",2,2000,"Yes","R. Tracy Walker","REP",11111111111
"99",99,"HOUSE DISTRICT 42",2,2000,"Yes","Frank Mitchell","REP",11111111111
"100",100,"HOUSE DISTRICT 42",2,2000,"Yes","J. Wayne Kahl","DEM",11111111111
"101",101,"HOUSE DISTRICT 43",1,2000,"No","Mitchel Smith Setzer","REP",11111111111
"102",102,"HOUSE DISTRICT 44",2,2000,"Yes","Daniel W. Barefoot","DEM",11111111111
"103",103,"HOUSE DISTRICT 44",2,2000,"Yes","Tom Rogers","REP",11111111111
"104",104,"HOUSE DISTRICT 45",4,2000,"Yes","David Clark, Jr.","DEM",11111111111
"105",105,"HOUSE DISTRICT 45",4,2000,"Yes","Mark Hilton","REP",11111111111
"106",106,"HOUSE DISTRICT 45",4,2000,"Yes","Columbus J. Turner","DEM",11111111111
"107",107,"HOUSE DISTRICT 45",4,2000,"Yes","Joe L. Kiser","REP",11111111111
"108",108,"HOUSE DISTRICT 46",3,2000,"Yes","Charles Monroe Buchanan","REP",11111111111
"109",109,"HOUSE DISTRICT 46",3,2000,"Yes","Gregg Thompson","REP",11111111111
"110",110,"HOUSE DISTRICT 46",3,2000,"Yes","Joe Delk","DEM",11111111111
"111",111,"HOUSE DISTRICT 47",2,2000,"Yes","Earl A. Cook","REP",11111111111
"112",112,"HOUSE DISTRICT 47",2,2000,"Yes","Walter G. Church, Sr.","DEM",11111111111
"113",113,"HOUSE DISTRICT 48",6,2000,"Yes","Debbie A. Clary","REP",11111111111
"114",114,"HOUSE DISTRICT 48",6,2000,"Yes","Andy Dedmon","DEM",11111111111
"115",115,"HOUSE DISTRICT 48",6,2000,"Yes","John Weatherly","REP",11111111111
"116",116,"HOUSE DISTRICT 48",6,2000,"Yes","Connie Goforth-Greene","DEM",11111111111
"117",117,"HOUSE DISTRICT 48",6,2000,"Yes","Jim Horn","DEM",11111111111
"118",118,"HOUSE DISTRICT 48",6,2000,"Yes","Dennis Davis","REP",11111111111
"119",119,"HOUSE DISTRICT 49",2,2000,"Yes","David Huskins","DEM",11111111111
"120",120,"HOUSE DISTRICT 49",2,2000,"Yes","Mitch Gillespie","REP",11111111111
"121",121,"HOUSE DISTRICT 50",1,2000,"No","Larry T. Justus","REP",11111111111
"122",122,"HOUSE DISTRICT 51",9,2000,"Yes","Jerold F. Johnson","RFM",11111111111
"123",123,"HOUSE DISTRICT 51",9,2000,"Yes","Betty B. Williams","REP",11111111111
"124",124,"HOUSE DISTRICT 51",9,2000,"Yes","Lanier Cansler","REP",11111111111
"125",125,"HOUSE DISTRICT 51",9,2000,"Yes","J. Ray Elingburg","DEM",11111111111
"126",126,"HOUSE DISTRICT 51",9,2000,"Yes","Martin L. Nesbitt","DEM",11111111111
"127",127,"HOUSE DISTRICT 51",9,2000,"Yes","Kristina Michele Murphy","RFM",11111111111
"128",128,"HOUSE DISTRICT 51",9,2000,"Yes","Barbara Field","DEM",11111111111
"129",129,"HOUSE DISTRICT 51",9,2000,"Yes","Wilma M. Sherrill","REP",11111111111
"130",130,"HOUSE DISTRICT 51",9,2000,"Yes","Lance Kurland","RFM",11111111111
"131",131,"HOUSE DISTRICT 52",4,2000,"Yes","Margaret M. Carpenter","REP",11111111111
"132",132,"HOUSE DISTRICT 52",4,2000,"Yes","R. Phillip Haire","DEM",11111111111
"133",133,"HOUSE DISTRICT 52",4,2000,"Yes","Mary Ann Enloe","DEM",11111111111
"134",134,"HOUSE DISTRICT 52",4,2000,"Yes","Jesse Sigmon","REP",11111111111
"135",135,"HOUSE DISTRICT 53",2,2000,"Yes","W. C. (Sonny) Burrell","DEM",11111111111
"136",136,"HOUSE DISTRICT 53",2,2000,"Yes","Roger West","REP",11111111111
"137",137,"HOUSE DISTRICT 54",2,2000,"Yes","Drew Saunders","DEM",11111111111
"138",138,"HOUSE DISTRICT 54",2,2000,"Yes","Wes Southern","REP",11111111111
"139",139,"HOUSE DISTRICT 55",1,2000,"No","Ed McMahan","REP",11111111111
"140",140,"HOUSE DISTRICT 56",1,2000,"No","Martha Alexander","DEM",11111111111
"141",141,"HOUSE DISTRICT 57",1,2000,"No","Connie Wilson","REP",11111111111
"142",142,"HOUSE DISTRICT 58",1,2000,"No","Ruth M. Easterling","DEM",11111111111
"143",143,"HOUSE DISTRICT 59",1,2000,"No","W. Pete Cunningham","DEM",11111111111
"144",144,"HOUSE DISTRICT 60",2,2000,"Yes","Beverly Earle","DEM",11111111111
"145",145,"HOUSE DISTRICT 60",2,2000,"Yes","Barbara Underwood","REP",11111111111
"146",146,"HOUSE DISTRICT 61",2,2000,"Yes","James A. (Art) Pope","REP",11111111111
"147",147,"HOUSE DISTRICT 61",2,2000,"Yes","M. Jackson Nichols","DEM",11111111111
"148",148,"HOUSE DISTRICT 62",3,2000,"Yes","David M. Miner","REP",11111111111
"149",149,"HOUSE DISTRICT 62",3,2000,"Yes","Ian M. Sands","LIB",11111111111
"150",150,"HOUSE DISTRICT 62",3,2000,"Yes","Gerald W. Holleman","DEM",11111111111
"151",151,"HOUSE DISTRICT 63",2,2000,"Yes","Nancy H. Brown","REP",11111111111
"152",152,"HOUSE DISTRICT 63",2,2000,"Yes","Jennifer Weiss","DEM",11111111111
"153",153,"HOUSE DISTRICT 64",3,2000,"Yes","Thomas A. (Tom) Luther","LIB",11111111111
"154",154,"HOUSE DISTRICT 64",3,2000,"Yes","Robert J. Hensley, Jr.","DEM",11111111111
"155",155,"HOUSE DISTRICT 64",3,2000,"Yes","Charles L. Moorefield, Jr.","REP",11111111111
"156",156,"HOUSE DISTRICT 65",1,2000,"No","Rick L. Eddins","REP",11111111111
"157",157,"HOUSE DISTRICT 66",2,2000,"Yes","Donald J. Biles","LIB",11111111111
"158",158,"HOUSE DISTRICT 66",2,2000,"Yes","Larry Womble","DEM",11111111111
"159",159,"HOUSE DISTRICT 67",1,2000,"No","Warren (Pete) Oldham","DEM",11111111111
"160",160,"HOUSE DISTRICT 68",1,2000,"No","Trudi Walend","REP",11111111111
"161",161,"HOUSE DISTRICT 69",2,2000,"Yes","David Nathan Gable","LIB",11111111111
"162",162,"HOUSE DISTRICT 69",2,2000,"Yes","Jim Gulley","REP",11111111111
"163",163,"HOUSE DISTRICT 70",1,2000,"No","Milton F. Fitch, Jr.","DEM",11111111111
"164",164,"HOUSE DISTRICT 71",2,2000,"Yes","Wade Ellison","REP",11111111111
"165",165,"HOUSE DISTRICT 71",2,2000,"Yes","Joe P. Tolson","DEM",11111111111
"166",166,"HOUSE DISTRICT 72",2,2000,"Yes","Mary P. Wells","DEM",11111111111
"167",167,"HOUSE DISTRICT 72",2,2000,"Yes","Gene Arnold","REP",11111111111
"168",168,"HOUSE DISTRICT 73",2,2000,"Yes","Michael Adamson","DEM",11111111111
"169",169,"HOUSE DISTRICT 73",2,2000,"Yes","Wayne Sexton","REP",11111111111
"170",170,"HOUSE DISTRICT 74",1,2000,"No","Julia C. Howard","REP",11111111111
"171",171,"HOUSE DISTRICT 75",2,2000,"Yes","James F. Mabe","REP",11111111111
"172",172,"HOUSE DISTRICT 75",2,2000,"Yes","Alex Warner","DEM",11111111111
"173",173,"HOUSE DISTRICT 76",2,2000,"Yes","Michael Harrington","REP",11111111111
"174",174,"HOUSE DISTRICT 76",2,2000,"Yes","John D. Bridgeman","DEM",11111111111
"175",175,"HOUSE DISTRICT 77",1,2000,"No","Carolyn B. Russell","REP",11111111111
"176",176,"HOUSE DISTRICT 78",1,2000,"No","Stan Fox","DEM",11111111111
"177",177,"HOUSE DISTRICT 79",1,2000,"No","William L. Wainwright","DEM",11111111111
"178",178,"HOUSE DISTRICT 80",2,2000,"Yes","Robert Grady","REP",11111111111
"179",179,"HOUSE DISTRICT 80",2,2000,"Yes","Charles Wiggins","DEM",11111111111
