"","contest","candidate_count","year","contested","choice","party","district"
"1","NC HOUSE OF REPRESENTATIVES DISTRICT 1",1,2008,"No","W. C. (Bill) Owens, Jr.","DEM","1"
"2","NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2008,"Yes","Stephen LaRoque","REP","10"
"3","NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2008,"Yes","Van Braxton","DEM","10"
"4","NC HOUSE OF REPRESENTATIVES DISTRICT 100",2,2008,"Yes","Tom White","REP","100"
"5","NC HOUSE OF REPRESENTATIVES DISTRICT 100",2,2008,"Yes","Tricia Cotham","DEM","100"
"6","NC HOUSE OF REPRESENTATIVES DISTRICT 101",2,2008,"Yes","Beverly Miller Earle","DEM","101"
"7","NC HOUSE OF REPRESENTATIVES DISTRICT 101",2,2008,"Yes","Beth Marlin","REP","101"
"8","NC HOUSE OF REPRESENTATIVES DISTRICT 102",2,2008,"Yes","Becky Carney","DEM","102"
"9","NC HOUSE OF REPRESENTATIVES DISTRICT 102",2,2008,"Yes","Gregory Patrick Hill","REP","102"
"10","NC HOUSE OF REPRESENTATIVES DISTRICT 103",2,2008,"Yes","Jim Gulley","REP","103"
"11","NC HOUSE OF REPRESENTATIVES DISTRICT 103",2,2008,"Yes","Mark Brody","","103"
"12","NC HOUSE OF REPRESENTATIVES DISTRICT 104",1,2008,"No","Ruth Samuelson","REP","104"
"13","NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,2008,"No","Ric Killian","REP","105"
"14","NC HOUSE OF REPRESENTATIVES DISTRICT 106",1,2008,"No","Martha Alexander","DEM","106"
"15","NC HOUSE OF REPRESENTATIVES DISTRICT 107",2,2008,"Yes","Gary Hardee","REP","107"
"16","NC HOUSE OF REPRESENTATIVES DISTRICT 107",2,2008,"Yes","Kelly Alexander","DEM","107"
"17","NC HOUSE OF REPRESENTATIVES DISTRICT 108",3,2008,"Yes","Wil Neumann","REP","108"
"18","NC HOUSE OF REPRESENTATIVES DISTRICT 108",3,2008,"Yes","Marvin (Eddie) Wyatt","DEM","108"
"19","NC HOUSE OF REPRESENTATIVES DISTRICT 108",3,2008,"Yes","Keith Calvelli","LIB","108"
