"","year","contest","candidate_count","contested","choice","party","district"
"1",2002,"NC HOUSE (1)",1,"No","W. C. (Bill) Owens, Jr.","DEM","1"
"2",2002,"NC HOUSE (101)",1,"No","Beverly M. Earle","DEM","101"
"3",2002,"NC HOUSE (106)",1,"No","Martha Alexander","DEM","106"
"4",2002,"NC HOUSE (107)",1,"No","W. Pete Cunningham","DEM","107"
"5",2002,"NC HOUSE (110)",1,"No","Debbie A. Clary","REP","110"
"6",2002,"NC HOUSE (116)",1,"No","Wilma M. Sherrill","REP","116"
"7",2002,"NC HOUSE (120)",1,"No","Roger West","REP","120"
"8",2002,"NC HOUSE (21)",1,"No","Larry M. Bell","DEM","21"
"9",2002,"NC HOUSE (24)",1,"No","Jean Farmer Butterfield","DEM","24"
"10",2002,"NC HOUSE (26)",1,"No","Billy Creech","REP","26"
"11",2002,"NC HOUSE (27)",1,"No","Stan Fox","DEM","27"
"12",2002,"NC HOUSE (28)",1,"No","Leo Daughtry","REP","28"
"13",2002,"NC HOUSE (29)",1,"No","Paul Miller","DEM","29"
"14",2002,"NC HOUSE (42)",1,"No","Marvin W. Lucas","DEM","42"
"15",2002,"NC HOUSE (43)",1,"No","Mary E. McAllister","DEM","43"
"16",2002,"NC HOUSE (48)",1,"No","Donald A. Bonner","DEM","48"
"17",2002,"NC HOUSE (64)",1,"No","Cary D. Allred","REP","64"
"18",2002,"NC HOUSE (65)",1,"No","Nelson Cole","DEM","65"
"19",2002,"NC HOUSE (66)",1,"No","Wayne Sexton","REP","66"
"20",2002,"NC HOUSE (7)",1,"No","John D. Hall","DEM","7"
"21",2002,"NC HOUSE (73)",1,"No","Curtis Blackwood","REP","73"
"22",2002,"NC HOUSE (76)",1,"No","Eugene McCombs","REP","76"
"23",2002,"NC HOUSE (8)",1,"No","Edith D. Warren","DEM","8"
"24",2002,"NC HOUSE (80)",1,"No","Jerry C. Dockham","REP","80"
"25",2002,"NC HOUSE (88)",1,"No","Mark K. Hilton","REP","88"
"26",2002,"NC HOUSE (95)",1,"No","Karen Ray","REP","95"
"27",2002,"NC HOUSE (99)",1,"No","Drew Saunders","DEM","99"
