rank	team	gm	fgm	fga	fgp
1	Indiana	1	37	57	64.9
2	Notre Dame	1	25	43	58.1
3	Villanova	1	33	57	57.9
4	Texas A&M	1	32	57	56.1
5	Middle Tenn.	1	33	59	55.9
6	Oregon	1	34	61	55.7
7	Kansas	1	39	70	55.7
8	Michigan St.	1	30	54	55.6
9	Virginia	1	32	58	55.2
10	Utah	1	27	50	54.0
11	Southern California	1	28	52	53.8
12	Duke	1	29	54	53.7
13	Yale	1	26	49	53.1
14	Kentucky	1	33	63	52.4
15	FGCU	2	59	115	51.3
16	Maryland	1	23	45	51.1
17	Cincinnati	1	28	55	50.9
18	Iowa St.	1	32	64	50.0
-	Oklahoma	1	28	56	50.0
20	Fresno St.	1	26	53	49.1
21	Butler	1	25	51	49.0
22	UNI	1	21	43	48.8
23	Iona	1	31	64	48.4
24	Xavier	1	30	62	48.4
25	Saint Joseph's	1	28	58	48.3
26	VCU	1	27	56	48.2
27	Chattanooga	1	28	59	47.5
28	Texas Tech	1	25	54	46.3
29	Temple	1	30	66	45.5
30	Colorado	1	23	51	45.1
31	CSU Bakersfield	1	26	58	44.8
32	Texas	1	25	56	44.6
-	Tulsa	1	25	56	44.6
34	Miami (FL)	1	24	54	44.4
35	Baylor	1	30	68	44.1
-	UNCW	1	30	68	44.1
37	Gonzaga	1	24	56	42.9
38	North Carolina	1	31	73	42.5
39	Purdue	1	26	62	41.9
40	Oregon St.	1	25	60	41.7
-	Arizona	1	20	48	41.7
42	Austin Peay	1	25	61	41.0
43	South Dakota St.	1	24	59	40.7
44	Providence	1	25	62	40.3
45	Michigan	2	49	122	40.2
46	Holy Cross	2	38	95	40.0
47	UConn	1	23	58	39.7
48	Syracuse	1	21	53	39.6
49	Southern U.	1	22	56	39.3
50	Wichita St.	2	46	118	39.0
-	Buffalo	1	23	59	39.0
52	Little Rock	1	30	77	39.0
53	Weber St.	1	22	57	38.6
54	Green Bay	1	21	56	37.5
-	Pittsburgh	1	18	48	37.5
56	UNC Asheville	1	21	57	36.8
57	Iowa	1	24	69	34.8
58	Fairleigh Dickinson	1	23	70	32.9
59	Seton Hall	1	20	62	32.3
60	Dayton	1	18	56	32.1
61	Wisconsin	1	17	53	32.1
62	SFA	1	17	55	30.9
63	West Virginia	1	16	52	30.8
64	Hampton	1	17	56	30.4
65	Vanderbilt	1	16	53	30.2
66	Stony Brook	1	20	76	26.3
