season,ep_number,title,date_watched,ep_thumb,watch_thumb,comments
1,1,Help Wanted,,,,
1,2,Reef Blower,,,,
1,3,Tea at the Treedome,,,,
1,4,Bubblestand,,,,
1,5,Ripped Pants,,,,
1,6,Jellyfishing,,,,
1,7,Plankton!,,,,
1,8,Naughty Nautical Neighbors,,,,
1,9,Boating School,,,,
1,10,Pizza Delivery,,,,
1,11,Home Sweet Pineapple,,,,
1,12,Mermaid Man and Barnacle Boy,,,,
1,13,Pickles,,,,
1,14,Hall Monitor,,,,
1,15,Jellyfish Jam,,,,
1,16,Sandy's Rocket,,,,
1,17,Squeaky Boots,,,,
1,18,Nature Pants,,,,
1,19,Opposite Day,,,,
1,20,Culture Shock,,,,
1,21,F.U.N.,,,,
1,22,MuscleBob BuffPants,,,,
1,23,Squidward the Unfriendly Ghost,,,,
1,24,The Chaperone,,,,
1,25,Employee of the Month,,,,
1,26,Scaredy Pants,,,,
1,27,I Was a Teenage Gary,,,,
1,28,SB-129,,,,
1,29,Karate Choppers,,,,
1,30,Sleepy Time,,,,
1,31,Suds,,,,
1,32,Valentine's Day,,,,
1,33,The Paper,,,,
1,34,Arrgh!,,,,
1,35,Rock Bottom,,,,
1,36,Texas,,,,
1,37,Walking Small,,,,
1,38,Fools in April,,,,
1,39,Neptune's Spatula,,,,
1,40,Hooky,,,,
1,41,Mermaid Man and Barnacle Boy II,,,,
2,42,Your Shoe's Untied,,,,
2,43,Squid's Day Off,,,,
2,44,Something Smells,,,,
2,45,Bossy Boots,,,,
2,46,Big Pink Loser,,,,
2,47,Bubble Buddy,,,,
2,48,Dying for Pie,,,,
2,49,"Imitation Krabs
",,,,
2,50,Wormy,,,,
2,51,Patty Hype,,,,
2,52,Grandma's Kisses,,,,
2,53,Squidville,,,,
2,54,Prehibernation Week,,,,
2,55,Life of Crime,,,,
2,56,"Christmas Who?
",,,,
2,57,Survival of the Idiots,,,,
2,58,Dumped,,,,
2,59,No Free Rides,,,,
2,60,I'm Your Biggest Fanatic,,,,
2,61,Mermaid Man and Barnacle Boy III,,,,
2,62,Squirrel Jokes,,,,
2,63,Pressure,,,,
2,64,The Smoking Peanut,,,,
2,65,Shanghaied,,,,
2,66,Gary Takes a Bath,,,,
2,67,Welcome to the Chum Bucket,,,,
2,68,"Frankendoodle
",,,,
2,69,The Secret Box,,,,
2,70,Band Geeks,,,,
2,71,Graveyard Shift,,,,
2,72,Krusty Love,,,,
2,73,Procrastination,,,,
2,74,I'm with Stupid,,,,
2,75,Sailor Mouth,,,,
2,76,Artist Unknown,,,,
2,77,Jellyfish Hunter,,,,
2,78,The Fry Cook Games,,,,
2,79,Squid on Strike,,,,
2,80,"Sandy, SpongeBob, and the Worm",,,,
3,81,The Algae's Always Greener,,,,
3,82,SpongeGuard on Duty,,,,
3,83,Club SpongeBob,,,,
3,84,My Pretty Seahorse,,,,
3,85,Just One Bite,,,,
3,86,The Bully,,,,
3,87,Nasty Patty,,,,
3,88,Idiot Box,,,,
3,89,Mermaid Man and Barnacle Boy IV,,,,
3,90,Doing Time,,,,
3,91,Snowball Effect,,,,
3,92,One Krab's Trash,,,,
3,93,As Seen on TV,,,,
3,94,"Can You Spare a Dime?
",,,,
3,95,No Weenies Allowed,,,,
3,96,Squilliam Returns,,,,
3,97,Krab Borg,,,,
3,98,Rock-a-Bye Bivalve,,,,
3,99,Wet Painters,,,,
3,100,Krusty Krab Training Video,,,,
3,101,"Party Pooper Pants
",,,,
3,102,Chocolate with Nuts,,,,
3,103,Mermaid Man and Barnacle Boy V,,,,
3,104,New Student Starfish,,,,
3,105,Clams,,,,
3,106,"Ugh
",,,,
3,107,The Great Snail Race,,,,
3,108,Mid-Life Crustacean,,,,
3,109,"Born Again Krabs
",,,,
3,110,"I Had an Accident
",,,,
3,111,Krabby Land,,,,
3,112,"The Camping Episode
",,,,
3,113,Missing Identity,,,,
3,114,"Plankton's Army
",,,,
3,115,"The Sponge Who Could Fly
",,,,
3,116,"SpongeBob Meets the Strangler
",,,,
3,117,Pranks a Lot,,,,
